"Source","RelativePath","Pattern","MatchCount","Examples"
"air-combat-script","localizations\ch\interface\text\dlg_2.po","Conquest","1","conquest"
"air-combat-script","localizations\ch\interface\text\dlg_frontend.po","Conquest","127","dynamic_campaign | dynamic_campaign | dynamic_campaign | dynamic_campaign | dynamic_campaign"
"air-combat-script","localizations\ch\interface\text\dlg_frontend.po","Cleanup","8","Remove | remove | remove | Remove | remove"
"air-combat-script","localizations\ch\interface\text\dlg_frontend.po","Airborne","2","airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\dlg_frontend.po","Aircraft","3","Aircraft | aircraft | aircraft"
"air-combat-script","localizations\ch\interface\text\dlg_frontend.po","SpawnDeployment","8","DEPLOY | DEPLOY | purchase | Call-in | Call-in"
"air-combat-script","localizations\ch\interface\text\dlg_frontend_fh.po","Conquest","2","dynamic_campaign | dynamic_campaign"
"air-combat-script","localizations\ch\interface\text\dlg_ingame.po","Conquest","1","conquest"
"air-combat-script","localizations\ch\interface\text\dlg_ingame.po","Cleanup","2","destroyed | Destroyed"
"air-combat-script","localizations\ch\interface\text\dlg_ingame.po","Airborne","2","airborne | airborne"
"air-combat-script","localizations\ch\interface\text\dlg_ingame.po","Aircraft","2","plane | plane"
"air-combat-script","localizations\ch\interface\text\dlg_mp.po","Conquest","2","Conquest | conquest"
"air-combat-script","localizations\ch\interface\text\dlg_mp.po","Cleanup","3","Remove | Remove | Remove"
"air-combat-script","localizations\ch\interface\text\dlg_mp.po","Airborne","3","Airborne | airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\dlg_mp.po","SpawnDeployment","8","spawn | purchase | purchase | purchase | purchase"
"air-combat-script","localizations\ch\interface\text\dlg_mp_frontlines.po","Cleanup","4","Retreat | Retreat | Retreat | Retreat"
"air-combat-script","localizations\ch\interface\text\editor.po","Cleanup","4","remove | Remove | remove | Remove"
"air-combat-script","localizations\ch\interface\text\info.po","Cleanup","2","destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\info.po","Airborne","10","airborne | airborne | airborne | airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\info.po","Aircraft","27","aircraft | aircraft | aircraft | plane | fighter"
"air-combat-script","localizations\ch\interface\text\info.po","SpawnDeployment","1","deploy"
"air-combat-script","localizations\ch\interface\text\tips.po","Cleanup","2","retreat | destroyed"
"air-combat-script","localizations\ch\interface\text\announcements\cu6.po","Conquest","1","CONQUEST"
"air-combat-script","localizations\ch\interface\text\announcements\cu6.po","Aircraft","1","AIRCRAFT"
"air-combat-script","localizations\ch\interface\text\announcements\finesthour_release.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\desc\desc_ammo_ger.po","Aircraft","1","Aircraft"
"air-combat-script","localizations\ch\interface\text\desc\desc_breed_airborne_ger.po","Airborne","1","Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_breed_mp_fra.po","Aircraft","7","Fighter | Fighter | Fighter | Fighter | Fighter"
"air-combat-script","localizations\ch\interface\text\desc\desc_breed_mp_ned.po","Aircraft","8","Fighter | Fighter | Fighter | Fighter | Fighter"
"air-combat-script","localizations\ch\interface\text\desc\desc_breed_mp_uk.po","Airborne","127","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_breed_mp_usa.po","Airborne","241","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_breed_special_airborne.po","Airborne","5","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_gear_usa.po","Airborne","31","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_squad_doctrines.po","Aircraft","6","Plane | Plane | Plane | Plane | Plane"
"air-combat-script","localizations\ch\interface\text\desc\desc_squad_doctrines_eng.po","Aircraft","3","Plane | Plane | Plane"
"air-combat-script","localizations\ch\interface\text\desc\desc_squad_eng.po","Airborne","30","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_squad_mp_usa.po","Airborne","16","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_squad_usa_dcg_late.po","Airborne","7","Airborne | Airborne | Airborne | Airborne | Airborne"
"air-combat-script","localizations\ch\interface\text\desc\desc_vehicles_eng.po","Aircraft","5","Aircraft | Bomber | Fighter | Bomber | Fighter"
"air-combat-script","localizations\ch\interface\text\desc\desc_vehicles_fin.po","Aircraft","1","Bomber"
"air-combat-script","localizations\ch\interface\text\desc\desc_vehicles_ger.po","Aircraft","12","Fighter | Fighter | Fighter | Fighter | Fighter"
"air-combat-script","localizations\ch\interface\text\desc\desc_vehicles_ger_fh.po","Aircraft","1","Fighter"
"air-combat-script","localizations\ch\interface\text\desc\desc_vehicles_rus.po","Aircraft","22","Fighter | Fighter | Fighter | Fighter | Fighter"
"air-combat-script","localizations\ch\interface\text\desc\desc_vehicles_usa.po","Aircraft","8","Aircraft | Fighter | Aircraft | Fighter | Fighter"
"air-combat-script","localizations\ch\interface\text\desc\desc_weapon_generic.po","Aircraft","1","Aircraft"
"air-combat-script","localizations\ch\interface\text\mission\multi\common.po","Aircraft","2","aircraft | bomber"
"air-combat-script","localizations\ch\interface\text\mission\single\common.po","SpawnDeployment","1","reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\00-bootcamp\03_artillery-reinforcements.po","SpawnDeployment","1","deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\00-bootcamp\04_reinforcements-offmap-support.po","SpawnDeployment","10","call in | reinforcement | call in | call in | reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1941_11_typhoon.po","Aircraft","2","plane | plane"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1942_05_kerch.po","Cleanup","13","destroyed | Retreat | retreat | retreat | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1942_05_kerch.po","Aircraft","12","aircraft | aircraft | aircraft | aircraft | fighter"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1942_05_kerch.po","SpawnDeployment","1","deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1942_09_pavlovs_house.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1942_12_winterstorm.po","Aircraft","1","Aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1943_07_ponyri.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1944_10_courland.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\01-rus\1944_10_courland.po","SpawnDeployment","46","reinforcement | reinforcement | reinforcement | reinforcement | reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1941_10_glushkovo.po","SpawnDeployment","21","reinforcement | reinforcement | Deploy | reinforcement | reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1942_01_vyazma.po","Aircraft","2","aircraft | Aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1942_09_elbrus.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1943_02_krasny_bor.po","Cleanup","2","destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1943_07_petrovka.po","Cleanup","9","destroyed | Retreat | destroyed | destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1943_07_petrovka.po","Aircraft","6","aircraft | plane | fighter | aircraft | plane"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1943_07_petrovka.po","SpawnDeployment","1","reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1943_11_wotan.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1943_11_wotan.po","SpawnDeployment","1","deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1944_03_narva.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1944_03_narva.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger\1944_09_yugoslavia.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger-west\1944_06_saint_lo_hills.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger-west\1944_08_07_luttich.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger-west\1944_08_19_falaise_escape.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger-west\1944_08_19_falaise_escape.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\02-ger-west\1945_01_thirimont.po","SpawnDeployment","2","Deploy | deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\03-fin\1939_12_kollaa.po","Cleanup","5","retreat | retreat | destroyed | retreat | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\03-fin\1941_08_ino_station.po","SpawnDeployment","2","deploy | deploy"
"air-combat-script","localizations\ch\interface\text\mission\single\03-fin\1944_06_tali-ilhantala.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\03-fin\1944_06_tali-ilhantala.po","Aircraft","1","aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_06_pointe_du_hoc.po","Cleanup","3","destroyed | destroyed | destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_06_pointe_du_hoc.po","Airborne","2","airborne | airborne"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_06_pointe_du_hoc.po","SpawnDeployment","2","call in | Call in"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_07_hedgerow_hell.po","Aircraft","1","plane"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_07_hedgerow_hell.po","SpawnDeployment","2","Call-in | Call-in"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_07_skirmish_operation_cobra.po","Aircraft","2","plane | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_07_skirmish_operation_cobra.po","SpawnDeployment","1","Reinforcement"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_08_mortain.po","Cleanup","1","destroyed"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_08_skirmish_falaise_pocket.po","Cleanup","1","retreat"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_08_skirmish_falaise_pocket.po","Aircraft","2","plane | aircraft"
"air-combat-script","localizations\ch\interface\text\mission\single\04-usa\1944_08_skirmish_falaise_pocket.po","SpawnDeployment","1","Reinforcement"
