"Source","RelativePath","LengthBytes","Reason"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\body.ply","313803","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\body.vol","416","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\body2.ply","531951","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\bomber.mtl","183","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\tie_ca.def","2472","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\tie_interdictor.mdl","2678","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\wingl.ply","140975","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\wingl.vol","416","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\wingr.ply","140835","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\wingr.vol","416","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\body.mtl","199","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\body.ply","660856","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\body.vol","12532","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\tie_in.def","2284","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\tie_interceptor.mdl","2915","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\tie_in_static.def","137","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\window.mtl","195","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\wingl.ply","999380","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\wingl.vol","1560","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\wingls.ply","1362908","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\wingr.ply","999380","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\wingr.vol","1560","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\wingrs.ply","1362972","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\wings.mtl","203","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\body.mtl","195","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\body.ply","660856","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\body.vol","12532","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_fighter.mdl","1922","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_ln.def","1952","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_ln_static.def","133","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\window.mtl","195","TIE or X-wing path keyword"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\wingl.ply","1736444","TIE or X-wing path keyword"
