"Source","RelativePath","Pattern","MatchCount","Examples"
"shattered-galaxy","localizations\de\interface\text\desc\desc_vehicles_sw.pot","Starfighter","1","Bomber"
"shattered-galaxy","localizations\de\interface\text\desc\desc_vehicles_sw.pot","XWing","3","xwing | X-Wing | xwing"
"shattered-galaxy","localizations\default\interface\text\desc\desc_breed_mp_dm_rep.pot","Starfighter","1","Starfighter"
"shattered-galaxy","localizations\default\interface\text\desc\desc_breed_mp_rep.pot","Starfighter","1","Starfighter"
"shattered-galaxy","localizations\default\interface\text\desc\desc_breed_single_rep.pot","Starfighter","2","Starfighter | Starfighter"
"shattered-galaxy","localizations\default\interface\text\desc\desc_squad_cis.pot","Starfighter","1","Bomber"
"shattered-galaxy","localizations\default\interface\text\desc\desc_squad_conquest_cis.pot","Starfighter","1","Bomber"
"shattered-galaxy","localizations\default\interface\text\desc\desc_squad_conquest_reb.pot","XWing","1","X-Wing"
"shattered-galaxy","localizations\default\interface\text\desc\desc_squad_conquest_rep.pot","Starfighter","1","Starfighter"
"shattered-galaxy","localizations\default\interface\text\desc\desc_squad_doctrines_cis.pot","Starfighter","1","Bomber"
"shattered-galaxy","localizations\default\interface\text\desc\desc_squad_reb.pot","XWing","2","X-Wing | T-65"
"shattered-galaxy","localizations\default\interface\text\desc\desc_vehicles_sw.pot","Starfighter","30","Starfighter | Starfighter | Starfighter | Starfighter | Starfighter"
"shattered-galaxy","localizations\default\interface\text\desc\desc_vehicles_sw.pot","XWing","3","xwing | X-Wing | xwing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\arc-170\arc-170.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\arc-170_imp\arc-170_imp.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\awing\awing.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\bwing\bwing.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\droid_vulture\droid_vulture.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\gauntlet\gauntlet.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\geonosian_starfighter\geonosian_starfighter.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\hyena_droid\hyena_droid.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\n1_starfighter\n1_starfighter.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\nb1s_starbomber\nb1s_starbomber.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\skipray\skipray.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\skipray\skipray_imp.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\t47_airspeeder\t47_airspeeder.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\t47_airspeeder\t47_airspeeder_static.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tf_droidbomber\tf_droidbomber.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ca\tie_ca.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\tie_in.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_in\tie_in_static.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_fighter.mdl","TieFighter","1","tie_fighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_ln.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_ln.def","TieFighter","1","tie_fighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_ln_static.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_ln\tie_ln_static.def","TieFighter","1","tie_fighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_sa\tie_sa.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_sa\tie_sa_static.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tie_st_x1\tie_st_x1.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\tri-fighter\tri-fighter.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\v19_torrent\v19_torrent.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\vwing\vwing.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\vwing_imp\vwing_imp.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\x\tie_ln_xx\tie_fighter_xx.mdl","TieFighter","1","tie_fighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\x\xwing_xx\tt.mtl","XWing","1","xwing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\x\xwing_xx\x-wing.mtl","XWing","1","xwing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\x\xwing_xx\xwing_xx.mdl","XWing","1","x-wing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\xwing\tt.mtl","XWing","1","xwing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\xwing\x-wing.mdl","XWing","1","x-wing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\xwing\x-wing.mtl","XWing","1","xwing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\xwing\xwing.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\xwing\xwing.def","XWing","1","x-wing"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\ywing\ywing.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\ywing_btlb\ywing_btlb.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\airborne\z95_headhunter_csa\z95_headhunter_csa.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\z_unused\delta7\delta7.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\z_unused\eta2\eta2.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\z_unused\tie_ad\tie_ad.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\z_unused\z95_headhunter\z95_headhunter.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\entity\-vehicle_star_wars\z_unused\z95_headhunter_rep\z95_headhunter_rep.def","Starfighter","1","starfighter"
"shattered-galaxy","resource\interface\scene\minimap\minimap.set","Starfighter","2","starfighter | starfighter"
"shattered-galaxy","resource\interface\scene\minimap\starfighter.ebm","Starfighter","1","starfighter"
"shattered-galaxy","resource\map\testmaps\empty\map","XWing","1","xwing"
"shattered-galaxy","resource\map\testmaps\testmap\map","XWing","5","xwing | xwing | xwing | xwing | xwing"
"shattered-galaxy","resource\map\testmaps\testmap\map_old.old","XWing","1","xwing"
"shattered-galaxy","resource\map\testmaps\wip\death star\map","TieFighter","2","tie_fighter | tie_fighter"
"shattered-galaxy","resource\map\testmaps\wip\delta_revenant\map","XWing","1","x-wing"
"shattered-galaxy","resource\map\testmaps\wip\Endor Batlfront2 MAP\map","XWing","1","x-wing"
"shattered-galaxy","resource\map\testmaps\wip\endor_the_dark_side_of_the_moon\map","TieFighter","2","tie_fighter | tie_fighter"
"shattered-galaxy","resource\map\testmaps\wip\scarif\cinematic.mi","TieFighter","4","tie_fighter | tie_fighter | tie_fighter | tie_fighter"
"shattered-galaxy","resource\set\tp_control.set","XWing","1","xwing"
"shattered-galaxy","resource\set\interaction_entity\SG\SG_airborne.inc","XWing","1","xwing"
"shattered-galaxy","resource\set\interaction_entity\SG\SG_sound_defines.inc","XWing","25","x-wing | x-wing | x-wing | x-wing | x-wing"
"shattered-galaxy","resource\set\multiplayer\units\conquest\units_reb.set","XWing","2","xwing | xwing"
"shattered-galaxy","resource\set\multiplayer\units\dsd\units_reb.set","XWing","2","xwing | xwing"
"shattered-galaxy","resource\set\multiplayer\units\gcw\units_reb.set","XWing","2","xwing | xwing"
"shattered-galaxy","resource\set\registry\unit.reg","XWing","2","xwing | xwing"
